Type,PlayerA1,PlayerA2,PlayerB1,PlayerB2,ScoreA,ScoreB,Clearance
MATCH,Team A,,Team B,,0,0,
SINGLES,player-a1,,player-b1,,0,0,
SINGLES,player-a2,,player-b2,,0,0,
SINGLES,player-a3,,player-b3,,0,0,
SINGLES,player-a4,,player-b4,,0,0,
SINGLES,player-a5,,player-b5,,0,0,
SINGLES,player-a6,,player-b6,,0,0,
DOUBLES,player-a1,player-a2,player-b1,player-b2,0,0,
DOUBLES,player-a3,player-a4,player-b3,player-b4,0,0,
DOUBLES,player-a5,player-a6,player-b5,player-b6,0,0,
MATCH,Team C,,Team D,,0,0,
SINGLES,player-c1,,player-d1,,0,0,
SINGLES,player-c2,,player-d2,,0,0,
SINGLES,player-c3,,player-d3,,0,0,
SINGLES,player-c4,,player-d4,,0,0,
SINGLES,player-c5,,player-d5,,0,0,
SINGLES,player-c6,,player-d6,,0,0,
DOUBLES,player-c1,player-c2,player-d1,player-d2,0,0,
DOUBLES,player-c3,player-c4,player-d3,player-d4,0,0,
DOUBLES,player-c5,player-c6,player-d5,player-d6,0,0,
MATCH,Team E,,Team F,,0,0,
SINGLES,player-e1,,player-f1,,0,0,
SINGLES,player-e2,,player-f2,,0,0,
SINGLES,player-e3,,player-f3,,0,0,
SINGLES,player-e4,,player-f4,,0,0,
SINGLES,player-e5,,player-f5,,0,0,
SINGLES,player-e6,,player-f6,,0,0,
DOUBLES,player-e1,player-e2,player-f1,player-f2,0,0,
DOUBLES,player-e3,player-e4,player-f3,player-f4,0,0,
DOUBLES,player-e5,player-e6,player-f5,player-f6,0,0,
MATCH,Team G,,Team H,,0,0,
SINGLES,player-g1,,player-h1,,0,0,
SINGLES,player-g2,,player-h2,,0,0,
SINGLES,player-g3,,player-h3,,0,0,
SINGLES,player-g4,,player-h4,,0,0,
SINGLES,player-g5,,player-h5,,0,0,
SINGLES,player-g6,,player-h6,,0,0,
DOUBLES,player-g1,player-g2,player-h1,player-h2,0,0,
DOUBLES,player-g3,player-g4,player-h3,player-h4,0,0,
DOUBLES,player-g5,player-g6,player-h5,player-h6,0,0,
MATCH,Team I,,Team J,,0,0,
SINGLES,player-i1,,player-j1,,0,0,
SINGLES,player-i2,,player-j2,,0,0,
SINGLES,player-i3,,player-j3,,0,0,
SINGLES,player-i4,,player-j4,,0,0,
SINGLES,player-i5,,player-j5,,0,0,
SINGLES,player-i6,,player-j6,,0,0,
DOUBLES,player-i1,player-i2,player-j1,player-j2,0,0,
DOUBLES,player-i3,player-i4,player-j3,player-j4,0,0,
DOUBLES,player-i5,player-i6,player-j5,player-j6,0,0,
MATCH,Team K,,Team L,,0,0,
SINGLES,player-k1,,player-l1,,0,0,
SINGLES,player-k2,,player-l2,,0,0,
SINGLES,player-k3,,player-l3,,0,0,
SINGLES,player-k4,,player-l4,,0,0,
SINGLES,player-k5,,player-l5,,0,0,
SINGLES,player-k6,,player-l6,,0,0,
DOUBLES,player-k1,player-k2,player-l1,player-l2,0,0,
DOUBLES,player-k3,player-k4,player-l3,player-l4,0,0,
DOUBLES,player-k5,player-k6,player-l5,player-l6,0,0,
MATCH,Team M,,Team N,,0,0,
SINGLES,player-m1,,player-n1,,0,0,
SINGLES,player-m2,,player-n2,,0,0,
SINGLES,player-m3,,player-n3,,0,0,
SINGLES,player-m4,,player-n4,,0,0,
SINGLES,player-m5,,player-n5,,0,0,
SINGLES,player-m6,,player-n6,,0,0,
DOUBLES,player-m1,player-m2,player-n1,player-n2,0,0,
DOUBLES,player-m3,player-m4,player-n3,player-n4,0,0,
DOUBLES,player-m5,player-m6,player-n5,player-n6,0,0,
MATCH,Team O,,Team P,,0,0,
SINGLES,player-o1,,player-p1,,0,0,
SINGLES,player-o2,,player-p2,,0,0,
SINGLES,player-o3,,player-p3,,0,0,
SINGLES,player-o4,,player-p4,,0,0,
SINGLES,player-o5,,player-p5,,0,0,
SINGLES,player-o6,,player-p6,,0,0,
DOUBLES,player-o1,player-o2,player-p1,player-p2,0,0,
DOUBLES,player-o3,player-o4,player-p3,player-p4,0,0,
DOUBLES,player-o5,player-o6,player-p5,player-p6,0,0,
